,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,중정비 진행 현황 (종합),,,,,,,,,,,,,,,,,관리자 :,,,,,지연확정,"지연
가능성","정상출고
예정","조기출고
예정",출고완료,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1. 일일 중정비 보고,,,,,,,,,,,,,,,,,26. 08. 07.,,,,,🔴,🟡,🟢,🔵,⚫,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,▶ 자체 중정비,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,🚥,주기,기번,,Package,,기간,,일수,Shift,전일 작업 사항,,,금일 작업 사항,,,특이 사항,,,,,,"담당
입력
확인",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,🔴,"Ramp
(546)","HL7746
(A330-OZ)",,LDG + RIB 6,,"26.04.19 08:00
~
26.05.03 20:00
TBD",,"14N15D
TBD",주간,"SMT- No1 ENG INB'D TR
 NRC ",,,None,,,"Engine 수급 일정 미정 (09월 예상)
장기 Ground 예상
THS R/H ACC' 가장착",,,,,,Y,,,,,
,,,,,,,,,,,야간,None,,,None,,,,,,,,,,,,,,
,,🟢,A,"HL7755
(B777-OZ)",,LDG TRP,,"26.06.01 08:00
~
26.06.07 20:00",,6N7D,주간,None,,,LDG Remove,,,"HL7739(B777) 폐기 항공기에서
장탈된 LDG로 교환 예정",,,,,,Y,,,,,
,,,,,,,,,,,야간,None,,,None,,,,,,,,,,,,,,
,,🟢,B,"HL8308
(A350-OZ)",,3GC+4GB+Full A,,"26.05.24 08:00
26.05.25 20:00
~
26.06.07 20:00
26.06.09 08:00",,"14N15D
15N14D",주간,중정비 W/O,,,중정비 W/O,,,"No.1 Starter OIL Leak - 2일 입고예정
(FAK PART STARTER - HL8361 사용)
 - FAK 용 4일 입고예정",,,,,,Y,,,,,
,,,,,,,,,,,야간,None,,,None,,,,,,,,,,,,,,
,,🟢,C,"HL8328
(A320-BX)",,"Card 작업
+ Wing Top
Corrosion",,"26.06.01 08:00
~
26.06.07 20:00",,6N7D,주간,W/O,,,W/O,,,"이전 중정비시 발견된 Fuse Upper 
Lightning Repair & Wing Top
Corrosion (RH) Repair를 위한
항공기 입고 (26.2.9~2.13 Full A check)",,,,,,Y,,,,,
,,,,,,,,,,,야간,None,,,None,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,▶ 외주 중정비,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,기번,,기종,작업 내용,,,작업 기간,,,,,,복귀 일정,,,,,,,,,,,,,,,▣ 중정비 진행 현황 (종합) 사용 Guide 및 전달 사항
,,,,,,,,From,,To,,TAT,외주,,,,,,,,,,,,,,,,
,,HL7626,,A380,12Y(1+2+4GC)+LG,,,26.02.21,,26.06.09,,109,GAMECO,2026.06.09 (화) /,,,,,,,,,,Y,,,,,
,,▶ 비계획 정비,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,기번,,기종,작업 내용,,,작업 기간,,,,,,비고,,,,,,,,,,,,,,,     ▶ Bay 별 진행 현황 종함 및 세부인원 투입  현황  
,,,,,,,,From,,To,,TAT,Bay,,,,,,,,,,,,,,,,          - 해당 일자 기준  자동 입력 (임의 변경 금지)
,,-,,-,-,,,-,,-,,-,-,-,,,,,,,,,,Y,,,,,          - 입력 방식 변경시 세부 사항  ERROR )
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2.  Bay 별 중정비 진형  현황 종합,,,,,,,,,,,,,,,,,,,,,,,,,,,     ▶ 중정비팀 Dash Board 게시용으로 설정 완료
,,Bay 1 ,,,,,Bay 2 ,,,,,Bay 3 ,,,,,Bay 4 ,,,,,,,,,,,,"          - ""행/열"" 사이즈 변경 절대 금지          "
,,▣ 공정 진행율,,,,,▣ 공정 진행율,,,,,▣ 공정 진행율,,,,,▣ 공정 진행율,,,,,,,,,,,,"          - 행번호 9, 10행의 경우"
,,▣ 공정 진행율,,,,,▣ 공정 진행율,,,,,▣ 공정 진행율,,,,,▣ 공정 진행율,,,,,,,,,,,,"             ""중요 이슈"" 입력 하면 자동으로 간격이 늘어 나게 설정"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,              줄 바꿈(Alt+Enter)을 사용하여 정리
,,▣ 인원 투입율,,,,,▣ 인원 투입율,,,,,▣ 인원 투입율,,,,,▣ 인원 투입율,,,,,,,,,,,,
