,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,2026.08.07,,,,,,,,
,Bay A,,HL8286,,,Bay B,,HL7753,,,Bay C,,HL8586,,,Bay D,,HL7578,,,ETC,,,,
,PKG,,AFT PINTLE PIN,,,PKG,,7GB 전환정비 (Full A check 포함),,,PKG,,1GB 전환정비 (Full A check 포함),,,PKG,,STARLINK,,,PKG,,,,
,▣ 공정 진행율,,,,,▣ 공정 진행율,,,,,▣ 공정 진행율,,,,,▣ 공정 진행율,,,,,▣ 공정 진행율,,,,
,-,,,,,98.4%,,,,,,,,,,,,,,,0.0%,,,,
,▣ 인원 투입율,,,,,▣ 인원 투입율,,,,,▣ 인원 투입율,,,,,▣ 인원 투입율,,,,,▣ 인원 투입율,,,,
,4.4%,,,,,0.0%,,,,,103.6%,,,,,696.9%,,,,,0.0%,,,,
,▣ TAT 진행율,,,,,▣ TAT 진행율,,,,,▣ TAT 진행율,,,,,▣ TAT 진행율,,,,,▣ TAT 진행율,,,,
,🟢,,,,,🔴,,,,,🟢,,,,,,,,,,,,,,
,TAT,,5N 6D,,,TAT,,7N 8D,,,TAT,,3N 4D,,,TAT,,#VALUE!,,,TAT,,#VALUE!,,
,입고,,26.08.03,,08:00,입고,,26.08.07,,08:00,입고,,26.08.06,,08:00,입고,,2026. 08.05,,20:00,입고,,,,
, 출고,,26.08.08,,00:00, 출고,,26.08.14,,20:00, 출고,,26.08.09,,20:00, 출고,,2026. 08.08,,20:00, 출고,,,,
,,,AK,,AN,,,BL,,BO,,,CM,,CP,,,DN,,DQ,,,EO,,ER
,,,AO,,AR,,,BP,,BS,,,CQ,,CT,,,DR,,DU,,,ES,,EV
,,,,,,,,,,,,,,,,,,,,,,,,,
,지연확정,"지연
가능성","정상출고
예정","조기출고
예정",출고완료,,,,,,,,,,,,,,,,,,,,
,🔴,🟡,🟢,🔵,⚫,,,,,,,,,,,,,,,,,,,,
